Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,ArrDelay,DepDelay,Origin,Dest,delay,Meantemp,Meandewpoint,Meanhumidity,Meansealevelpre,Meanvisibility,Meanwindspeed,Rainfall,Cloudcover,Meantemp_arr,Meandewpoint_arr,Meanhumidity_arr,Meansealevelpre_arr,Meanvisibility_arr,Meanwindspeed_arr,Rainfall_arr,Cloudcover_arr,airport,city,state,country,lat,long,airport_arr,city_arr,state_arr,country_arr,lat_arr,long_arr
2008,10,27,1,630,725,WN,8.0,6.0,AUS,DAL,1,14.0,-14.0,33.0,1038.0,16.0,25.0,0.00,2.0,12.0,-11.0,30.0,1040.0,16.0,18.0,0.00,0.0,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
2008,3,3,1,1305,1307,DL,-2.0,1.0,ATL,BNA,0,15.0,1.0,61.0,1023.0,16.0,19.0,0.00,3.0,17.0,4.0,66.0,1016.0,13.0,24.0,23.37,6.0,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
2008,12,15,1,1434,1628,FL,-2.0,2.0,ATL,ROC,0,12.0,3.0,81.0,1029.0,13.0,8.0,0.00,8.0,6.0,-11.0,61.0,1030.0,16.0,33.0,0.76,7.0,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389
2008,5,2,5,1550,1750,MQ,65.0,59.0,CLT,LGA,1,21.0,10.0,63.0,1021.0,15.0,18.0,0.00,5.0,12.0,8.0,86.0,1020.0,6.0,23.0,3.56,8.0,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
2008,10,18,6,1807,2101,YV,57.0,65.0,HSV,IAD,1,13.0,3.0,64.0,1026.0,14.0,12.0,0.00,1.0,12.0,-1.0,51.0,1025.0,16.0,18.0,0.00,6.0,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
2008,9,19,5,1956,2144,UA,-21.0,-1.0,ORD,PHX,0,20.0,11.0,64.0,1019.0,16.0,11.0,0.00,0.0,32.0,8.0,28.0,1012.0,16.0,7.0,0.00,2.0,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.00805559999999
2008,12,24,3,1355,1631,CO,29.0,38.0,DCA,IAH,1,8.0,-7.0,64.0,1032.0,16.0,20.0,T,8.0,19.0,13.0,88.0,1022.0,13.0,13.0,2.79,7.0,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
2008,12,2,2,705,835,MQ,-7.0,-5.0,SFO,SNA,0,13.0,8.0,81.0,1023.0,16.0,11.0,0.00,4.0,15.0,11.0,86.0,1021.0,5.0,4.0,0.00,7.0,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.86822250000002
2008,2,9,6,700,940,CO,9.0,19.0,RSW,EWR,1,22.0,13.0,76.0,1021.0,13.0,5.0,0.00,2.0,4.0,-4.0,72.0,1018.0,12.0,7.0,3.05,7.0,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
2008,11,7,5,1506,1607,EV,2.0,-3.0,ATL,CAE,1,16.0,8.0,73.0,1016.0,13.0,11.0,9.14,5.0,16.0,6.0,65.0,1016.0,15.0,9.0,0.00,1.0,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Columbia Metropolitan,Columbia,SC,USA,33.93884,-81.11953944
2008,10,2,4,730,859,XE,-12.0,-6.0,IAH,TUL,0,22.0,10.0,59.0,1017.0,16.0,3.0,0.00,0.0,16.0,5.0,60.0,1020.0,16.0,6.0,0.00,0.0,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167
2008,2,26,2,1653,1924,UA,75.0,38.0,FLL,DEN,1,25.0,18.0,73.0,1015.0,13.0,10.0,28.70,4.0,1.0,-8.0,73.0,1030.0,9.0,11.0,0.76,4.0,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
2008,1,16,3,1617,2202,US,-35.0,-8.0,LAS,ORD,0,3.0,-18.0,24.0,1025.0,16.0,27.0,0.00,3.0,-3.0,-16.0,62.0,1024.0,16.0,32.0,0.00,6.0,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
2008,9,11,4,1054,1326,UA,6.0,-6.0,DEN,DSM,1,12.0,7.0,76.0,1022.0,11.0,13.0,0.00,6.0,22.0,15.0,80.0,1016.0,11.0,14.0,2.79,8.0,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
2008,4,25,5,835,940,MQ,9.0,0.0,DFW,XNA,1,23.0,10.0,61.0,1017.0,16.0,27.0,T,5.0,16.0,6.0,76.0,1018.0,15.0,18.0,2.03,5.0,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111
2008,3,27,4,2215,2348,YV,12.0,15.0,CLT,SDF,1,17.0,0.0,41.0,1021.0,13.0,19.0,0.00,3.0,14.0,7.0,78.0,1018.0,11.0,15.0,13.46,8.0,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736
2008,8,11,1,1102,1255,OO,-20.0,-8.0,MSO,DEN,0,18.0,-1.0,44.0,1019.0,16.0,11.0,0.00,0.0,22.0,1.0,51.0,1021.0,11.0,16.0,1.27,4.0,Missoula International,Missoula,MT,USA,46.91630556,-114.09055559999999,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
2008,2,22,5,1010,1154,OO,-4.0,-2.0,SLC,COS,0,3.0,-2.0,83.0,1011.0,12.0,13.0,T,7.0,2.0,-12.0,57.0,1013.0,15.0,10.0,0.00,0.0,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025
2008,10,29,3,1008,1101,YV,-3.0,-8.0,PHX,TUS,0,28.0,2.0,26.0,1017.0,16.0,5.0,0.00,0.0,24.0,-2.0,27.0,1019.0,16.0,8.0,0.00,0.0,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.00805559999999,Tucson International,Tucson,AZ,USA,32.11608333,-110.94102779999999
2008,11,19,3,2110,2355,WN,-11.0,-4.0,LAX,ABQ,0,18.0,7.0,74.0,1019.0,10.0,8.0,0.00,2.0,9.0,-11.0,29.0,1025.0,16.0,5.0,0.00,1.0,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.40807439999999,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
